id,ScholarshipName,Value,Requirements,ApplicationPeriod,Level,HostCountry,Link
1,Chevening Scholarship, £30000,"citizen of chevening-eligible country, completed undergrad, 2years experience, return home, apply & receive unconditional offer from University",Sept 12 - Nov 7,Masters,UK,https://www.chevening.org/scholarships/
2,MasterCard Foundation Scholar - Cambridge University, £30000 - £45000,"African resident, apply for masters course at Cambridge",Dec. 5,Masters,UK,https://www.mastercardfoundation.fund.cam.ac.uk/news/applications-20242025-academic-year-are-now-open
3,MasterCard Foundation Scholar - McGill University,"tuition, stipend, accommodation, visa, travel, arrival allowance, laptop allowance, part-time work ","Citizen & resident of Africa, , meet admission requirements, < 35yrs, intent to return home ",Dec. 1,Masters,Canada,https://www.mcgill.ca/mastercardfdn-scholars/apply-program
4,MasterCard Foundation Scholar - United States International University (Kenya),"tuition, stipend, accommodation, visa, travel, arrival allowance, laptop allowance, part-time work ","Citizen & resident of Africa, meet admission requirements, < 29yrs, leadership & giving back experience",Nov. 24,Undergrad,Kenya,https://www.usiu.ac.ke/2683/call-for-applications-mastercard-foundation-scholars-program-usiu-africa-september-fall-2024-intake
5,MasterCard Foundation Scholar - University of Oxford,"tuition, stipend, accommodation, visa, travel, arrival allowance, laptop allowance, part-time work ","Citizen & resident of Africa, meet admission requirements, < 29yrs, leadership & giving back experience",Varies by Course (Jan or Dec),Masters,UK,https://www.afox.ox.ac.uk/mastercard-foundation-afox-scholarships
6,MasterCard Foundation Scholar - University of Western Cape,"tuition, stipend, accommodation, visa, travel, arrival allowance, laptop allowance, part-time work ",Varies by Level (Undergrad & Masters),13-Oct,Undergrad & Masters,South Africa,https://www.uwc.ac.za/study/partnerships/mastercard-foundation-scholars-program
7,MasterCard Foundation Scholar - SciencesPo,"tuition, stipend, accommodation, visa, travel, arrival allowance, laptop allowance, part-time work ",Varies by Level (Undergrad & Masters),26-Nov,Masters,France,https://www.sciencespo.fr/students/en/fees-funding/bursaries-financial-aid/mastercard-foundation-scholarships/graduate-study
8,MasterCard Foundation Scholar - Carnegie Mellon University Africa,"tuition, stipend, accommodation, visa, travel, arrival allowance, laptop allowance","Academic talent, Potential to lead, Commitment to give back",24-Jan,Masters,Rwanda,https://www.africa.engineering.cmu.edu/impact/mastercard-foundation-scholars.html
9,MasterCard Foundation Scholar - UC Berkeley,"tuition, stipend, accommodation, visa, travel, arrival allowance, laptop allowance","Citizen & resident of Africa, meet admission requirements, academic talent, leadership & giving back experience, demonstrate need",1-Dec,Masters,US,https://mcfscholarsprogram.berkeley.edu/
10,MasterCard Foundation Scholar - University of Toronto,"tuition, stipend, accommodation, visa, travel, arrival allowance, laptop allowance","Recent graduate or attending affiliated universities (see list in link), apply for health-focused areas",15-Nov,Masters & PhD,Canada,https://internationalexperience.utoronto.ca/global-experiences/global-scholarships/mastercard-foundation-scholars
11,MasterCard Foundation Scholar - University of Edinburgh,"tuition, stipend, accommodation, visa, travel, arrival allowance, laptop allowance, part-time work ","Citizen & resident of Africa, meet admission requirements, < 35yrs, leadership & giving back experience",1-Dec,Masters,UK,https://www.ed.ac.uk/global/mastercard-foundation/apply-for-a-scholarship/on-campus-postgraduate-scholarships
12,MasterCard Foundation Scholar - Earth University,"tuition, stipend, accommodation, visa, travel, arrival allowance, laptop allowance, part-time work ","Sub-saharan Africa, Latin America, Carribean, Focus on Agriculture",31-Jan,Undergrad,Costa Rica,https://www.earth.ac.cr/en/support-earth/mastercardfdn/%c2%bfcomo-convertirse-en-un-becado-de-la-fundacion-mastercard/
13,Commonwealth Shared,"tuition, stipend to cover living and accommodation, visa, travel, arrival allowance, thesis grant, clothes allowance, child allowance, disability allowance","Citizen and resident of eligible commonwealth country, hold a degree with 2:1 or 2:2 with experience, no work or study experience in h-income country, can't afford study in the UK, provide all supporting document, nomination from university.",Nov 1 - Dec 13,Masters & PhD,UK,https://cscuk.fcdo.gov.uk/scholarships/commonwealth-shared-scholarships-applications/
14,Commowealth Master's Scholarship,"tuition, stipend to cover living and accommodation, visa, travel, arrival allowance, thesis grant, clothes allowance, child allowance, disability allowance","Citizen and resident of eligible commonwealth country, hold a degree with 2:1 or 2:2 with experience, no work or study experience in h-income country, can't afford study in the UK, provide all supporting document, nomination from university.",17-Oct-23,Masters,UK,https://cscuk.fcdo.gov.uk/scholarships/commonwealth-masters-scholarships/
15,Germany DAAD - Masters Studies,"tution, stipend to cover living and accommodation, travel allowance, health insurance, one-off study allowance, disability allowance, german language skill allowance","Varies, Check for your country","Varies, Check for your country",Masters,Germany,https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/?origin=&status=&subjectGrps=&daad=&q=&page=1&detail=50026200#voraussetzungen
16,Germany DAAD - Sub-saharan Africa,"tuition, stipend to cover living and accommodation, travel allowance, health insurance, one-off study allowance","Varies, Check for your country","Varies, Check for your country",Masters,Germany,https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/?detail=10000486
17,Erasmus+ Program,"tuition, stipend to cover living and accommodation, travel allowance, health insurance",Varies by programme,Varies by programme,Masters & PhD,Europe,https://www.eacea.ec.europa.eu/scholarships/erasmus-mundus-catalogue_en
18,Austalian Award Scholarship,"tuition, stipend to cover living and accommodation, travel allowance, health insurance, field work","citizen of award-eligible country, completed undergrad, sign a contract, return home",Feb 1 - May 3,Undergrad & Masters,Australia,https://www.dfat.gov.au/people-to-people/australia-awards/australia-awards-scholarships
19,Eiffel Excellence Scholarship Program,"tuition, stipend to cover living and accommodation, travel allowance, health insurance",Varies by country,Varies by country,Masters & PhD,France,https://shorturl.at/bIKRU
